Name,Kilometers Driven,Year of Manufacture,Fuel Type,Transmission Type,Price,Location,Owners
2023 Maruti Celerio,31.83k km,2023,CNG,Auto,â‚¹6.30 lakh,"Mulund West, Mumbai",1st owner
2023 Maruti Grand Vitara,19.71k km,2023,Petrol,Manual,â‚¹12.48 lakh,"Goregaon, Mumbai",1st owner
2018 Maruti Baleno,33.53k km,2018,Petrol,Manual,â‚¹5.00 lakh,"Regency Anantam, Dombivli East",1st owner
2017 Maruti Wagon R 1.0,41.98k km,2017,Petrol,Manual,â‚¹3.51 lakh,"Regency Anantam, Dombivli East",1st owner
2015 Maruti Ciaz,69.00k km,2015,Petrol,Auto,â‚¹4.60 lakh,"Goregaon, Mumbai",1st owner
2023 Maruti FRONX,21.61k km,2023,Petrol,Auto,â‚¹10.65 lakh,"Regency Anantam, Dombivli East",1st owner
2020 Maruti S PRESSO,79.07k km,2020,Petrol,Manual,â‚¹3.03 lakh,"Mulund West, Mumbai",2nd owner
2022 Maruti S PRESSO,19.44k km,2022,Petrol,Manual,â‚¹3.94 lakh,"Korum Mall, Thane West",1st owner
2023 Maruti Grand Vitara,71.50k km,2023,CNG,Manual,â‚¹12.30 lakh,"Mulund West, Mumbai",1st owner
2020 Maruti Baleno,30.79k km,2020,Petrol,Auto,â‚¹6.75 lakh,Seawood,1st owner
2022 Maruti Ciaz,20.73k km,2022,Petrol,Auto,â‚¹8.85 lakh,Seawood,1st owner
2019 Maruti Ciaz,99.52k km,2019,Petrol,Auto,â‚¹6.75 lakh,"Mulund West, Mumbai",1st owner
2023 Maruti Ciaz,10.91k km,2023,Petrol,Manual,â‚¹9.00 lakh,"Goregaon, Mumbai",1st owner
2020 Maruti Ertiga,10.23k km,2020,Petrol,Manual,â‚¹8.90 lakh,"Korum Mall, Thane West",1st owner
2023 Maruti Baleno,5.68k km,2023,Petrol,Manual,â‚¹6.10 lakh,"Mulund West, Mumbai",1st owner
2022 Maruti New Wagon-R,76.54k km,2022,CNG,Manual,â‚¹4.61 lakh,"Korum Mall, Thane West",2nd owner
2020 Maruti Swift,32.04k km,2020,Petrol,Manual,â‚¹5.15 lakh,"Goregaon, Mumbai",1st owner
2018 Maruti IGNIS,66.65k km,2018,Petrol,Manual,â‚¹3.58 lakh,"Korum Mall, Thane West",1st owner
2017 Maruti Wagon R 1.0,21.21k km,2017,Petrol,Auto,â‚¹3.26 lakh,"Goregaon, Mumbai",1st owner
2018 Maruti Baleno,48.75k km,2018,Petrol,Auto,â‚¹5.02 lakh,"Kandivali, Mumbai",1st owner
2016 Maruti Ciaz,55.49k km,2016,Petrol,Auto,â‚¹5.12 lakh,"Regency Anantam, Dombivli East",1st owner
2021 Maruti Ciaz,26.49k km,2021,Petrol,Manual,â‚¹7.01 lakh,"Korum Mall, Thane West",1st owner
2016 Maruti Celerio,60.90k km,2016,CNG,Manual,â‚¹3.60 lakh,"Regency Anantam, Dombivli East",1st owner
2017 Maruti Ciaz,95.33k km,2017,Petrol,Manual,â‚¹4.58 lakh,"Regency Anantam, Dombivli East",2nd owner
2020 Maruti S PRESSO,27.71k km,2020,Petrol,Auto,â‚¹3.99 lakh,"Mulund West, Mumbai",1st owner
